N_subasta;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess %
1;01/10/2020;2;0;5;33.978;350
1;01/10/2020;2;1;5;135.248;150
1;01/10/2020;2;2;5;177.512;50
1;01/10/2020;2;3;5;219.777;100
1;01/10/2020;2;4;5;304.307;100
1;01/10/2020;2;5;5;388.837;0
1;01/11/2020;0;0;0;33.978;0
1;01/12/2020;0;0;0;33.978;0
1;01/01/2021;0;0;0;33.978;0
1;01/02/2021;1;0;2;33.978;600
1;01/02/2021;1;1;2;135.248;500
1;01/02/2021;1;2;2;473.366;0
1;01/03/2021;1;0;2;33.978;700
1;01/03/2021;1;1;2;135.248;700
1;01/03/2021;1;2;2;473.366;0
1;01/04/2021;0;0;0;33.978;0
1;01/05/2021;2;0;2;33.978;600
1;01/05/2021;2;1;2;135.248;450
1;01/05/2021;2;2;2;473.366;0
1;01/06/2021;2;0;2;33.978;550
1;01/06/2021;2;1;2;135.248;350
1;01/06/2021;2;2;2;473.366;0
1;01/07/2021;0;0;0;33.978;0
1;01/08/2021;6;0;2;33.978;433
1;01/08/2021;6;1;2;135.248;267
1;01/08/2021;6;2;2;473.366;17
1;01/08/2021;6;2.1;2;219.777;117
1;01/08/2021;6;2.2;2;304.307;100
1;01/08/2021;6;2.3;2;388.837;0
1;01/09/2021;2;0;2;33.978;800
1;01/09/2021;2;1;2;135.248;550
1;01/09/2021;2;2;2;473.366;50
1;01/09/2021;2;2.1;2;219.777;400
1;01/09/2021;2;2.2;2;304.307;350
1;01/09/2021;2;2.3;2;388.837;0
2;01/11/2020;6;0;0;33.978;0
2;01/12/2020;4;0;1;33.978;50
2;01/12/2020;4;1;1;98.410;50
2;01/01/2021;2;0;3;33.978;200
2;01/01/2021;2;1;3;111.763;150
2;01/01/2021;2;2;3;391.169;100
2;01/01/2021;2;3;3;181.614;0
2;01/02/2021;0;0;0;33.978;0
2;01/03/2021;0;0;0;33.978;0
2;01/04/2021;0;0;0;33.978;0
2;01/05/2021;2;0;4;33.978;400
2;01/05/2021;2;1;2;111.763;350
2;01/05/2021;2;2;2;391.169;50
2;01/06/2021;0;0;0;33.978;0
2;01/07/2021;2;0;2;33.978;500
2;01/07/2021;2;1;2;111.763;400
2;01/07/2021;2;2;2;391.169;50
2;01/07/2021;2;2.1;2;181.614;350
2;01/08/2021;0;0;0;33.978;0
2;01/09/2021;0;0;0;33.978;0
2;01/10/2021;6;0;2;33.978;267
2;01/10/2021;6;1;2;111.763;217
2;01/10/2021;6;2;2;391.169;0
3;01/12/2021;6;0;0;33.978;0
3;01/01/2021;1;0;1;33.978;100
3;01/01/2021;3;1;1;111.763;0
3;01/02/2021;2;0;1;33.978;33
3;01/02/2021;0;1;1;78.234;0
3;01/03/2021;0;0;1;33.978;200
3;01/03/2021;0;1;1;111.763;0
3;01/04/2021;0;0;0;33.978;0
3;01/05/2021;0;0;0;33.978;0
3;01/06/2021;0;0;0;33.978;0
3;01/07/2021;0;0;0;33.978;0
3;01/08/2021;0;0;0;33.978;0
3;01/09/2021;0;0;0;33.978;0
3;01/10/2021;0;0;0;33.978;0
3;01/11/2021;9;0;0;33.978;144
3;01/11/2021;9;1;2;111.763;89
3;01/11/2021;9;2;2;391.169;33
3;01/11/2021;9;2.1;2;181.614;56
3;01/11/2021;9;2.2;2;251.466;22
3;01/11/2021;9;2.3;2;321.317;0
4;01/01/2021;1;0;0;33.978;0
4;01/02/2021;2;0;0;33.978;0
4;01/03/2021;2;0;0;33.978;0
4;01/04/2021;0;0;0;33.978;0
4;01/05/2021;1;0;3;33.978;400
4;01/06/2021;0;0;0;33.978;0
4;01/07/2021;0;0;0;33.978;0
4;01/08/2021;0;0;0;33.978;0
4;01/09/2021;0;0;0;33.978;0
4;01/10/2021;0;0;0;33.978;0
4;01/11/2021;0;0;0;33.978;0
4;01/12/2021;6;0;6;33.978;150
4;01/12/2021;6;1;2;111.763;117
4;01/12/2021;6;2;2;391.169;33
4;01/12/2021;6;2.1;2;181.614;83
4;01/12/2021;6;2.2;2;251.466;50
4;01/12/2021;6;2.4;2;391.169;0
5;01/02/2021;3;0;0;33.978;0
5;01/03/2021;0;0;0;33.978;0
5;01/04/2021;0;0;0;33.978;0
5;01/05/2021;0;0;0;33.978;0
5;01/06/2021;0;0;0;33.978;0
5;01/07/2021;0;0;0;33.978;0
5;01/08/2021;0;0;0;33.978;0
5;01/09/2021;0;0;0;33.978;0
5;01/10/2021;0;0;0;33.978;0
5;01/11/2021;0;0;0;33.978;0
5;01/12/2021;2;0;2;33.978;600
5;01/12/2021;2;1;2;111.763;300
5;01/12/2021;2;2;2;391.169;100
5;01/12/2021;2;2.1;2;181.614;200
5;01/12/2021;2;2.2;2;251.466;100
5;01/12/2021;2;2.3;2;321.317;0
5;01/01/2022;12;0;2;33.978;117
5;01/01/2022;12;1;2;111.763;58
5;01/01/2022;12;2;2;312.935;17
5;01/01/2022;12;2.1;2;162.056;50
5;01/01/2022;12;2.2;2;212.349;33
5;01/01/2022;12;2.3;2;262.642;0
6;01/03/2021;1;0;0;33.978;0
6;01/04/2021;1;0;1;33.978;400
6;01/04/2021;1;1;1;111.763;0
6;01/05/2021;0;0;0;33.978;0
6;01/06/2021;0;0;0;33.978;0
6;01/07/2021;0;0;0;33.978;0
6;01/08/2021;0;0;0;33.978;0
6;01/09/2021;0;0;0;33.978;0
6;01/10/2021;0;0;0;33.978;0
6;01/11/2021;0;0;0;33.978;0
6;01/12/2021;2;0;2;33.978;550
6;01/12/2021;2;1;2;111.763;350
6;01/12/2021;2;2;2;391.169;50
6;01/12/2021;2;2.1;2;181.614;250
6;01/12/2021;2;2.3;2;321.317;0
6;01/01/2022;2;0;2;33.978;550
6;01/01/2022;2;1;2;111.763;350
6;01/01/2022;2;2;2;391.169;50
6;01/01/2022;2;2.1;2;181.614;200
6;01/01/2022;2;2.3;2;321.317;0
6;01/02/2022;11;0;2;33.978;109
6;01/02/2022;11;1;2;111.763;36
6;01/02/2022;11;2;2;273.818;9
6;01/02/2022;11;2.1;2;152.276;18
6;01/02/2022;11;2.2;2;192.790;18
6;01/02/2022;11;2.3;2;233.304;0
7;01/04/2021;0;0;0;33.978;0
7;01/05/2021;0;0;0;33.978;0
7;01/06/2021;0;0;0;33.978;0
7;01/07/2021;0;0;0;33.978;0
7;01/08/2021;0;0;0;33.978;0
7;01/09/2021;0;0;0;33.978;0
7;01/10/2021;0;0;0;33.978;0
7;01/11/2021;0;0;0;33.978;0
7;01/12/2021;0;0;0;33.978;0
7;01/01/2022;1;0;2;33.978;600
7;01/01/2022;1;1;2;111.763;400
7;01/01/2022;1;2;2;391.169;100
7;01/01/2022;1;2.1;2;181.614;200
7;01/01/2022;1;2.2;2;251.466;100
7;01/01/2022;1;2.3;2;321.317;0
7;01/02/2022;0;0;0;33.978;0
7;01/03/2022;11;0;2;33.978;80
7;01/03/2022;11;1;2;111.763;30
7;01/03/2022;11;2;2;273.818;30
7;01/03/2022;11;2.1;2;152.276;20
7;01/03/2022;11;2.2;2;192.790;10
7;01/03/2022;11;2.4;2;273.818;0
8;01/05/2021;1;0;0;33.978;0
8;01/06/2021;1;0;2;33.978;400
8;01/06/2021;1;2.1;2;181.614;0
8;01/07/2021;0;0;0;33.978;0
8;01/08/2021;0;0;0;33.978;0
8;01/09/2021;0;0;0;33.978;0
8;01/10/2021;0;0;0;33.978;0
8;01/11/2021;0;0;0;33.978;0
8;01/12/2021;0;0;0;33.978;0
8;01/01/2022;0;0;0;33.978;0
8;01/02/2022;0;0;0;33.978;0
8;01/03/2022;3;0;2;33.978;200
8;01/03/2022;3;1;2;111.763;100
8;01/03/2022;3;2;2;391.169;100
8;01/03/2022;3;2.4;2;391.169;0
8;01/04/2022;8;0;3;33.978;100
8;01/04/2022;8;1;3;111.763;38
8;01/04/2022;8;2;3;273.818;13
9;01/06/2021;3;0;0;48.236;0
9;01/07/2021;0;0;0;48.236;0
9;01/08/2021;0;0;0;48.236;0
9;01/09/2021;0;0;0;48.236;0
9;01/10/2021;0;0;0;48.236;0
9;01/11/2021;0;0;0;48.236;0
9;01/12/2021;0;0;0;48.236;0
9;01/01/2022;0;0;0;48.236;0
9;01/02/2022;0;0;0;48.236;0
9;01/03/2022;1;0;2;48.236;800
9;01/03/2022;1;1;2;111.763;400
9;01/03/2022;1;2;2;391.169;100
9;01/03/2022;1;2.1;2;181.614;400
9;01/03/2022;1;2.2;2;251.466;300
9;01/04/2022;1;0;2;48.236;800
9;01/04/2022;1;1;2;111.763;500
9;01/04/2022;1;2;2;391.169;100
9;01/04/2022;1;2.1;2;181.614;400
9;01/04/2022;1;2.2;2;251.466;400
9;01/05/2022;9;0;2;48.236;122
9;01/05/2022;9;1;2;111.763;67
9;01/05/2022;9;2;2;391.169;11
9;01/05/2022;9;2.1;2;181.614;44
9;01/05/2022;9;2.2;2;251.466;22
9;01/05/2022;9;2.3;2;321.317;0
10;01/07/2021;2;0;1;48.236;200
10;01/07/2021;2;1;1;111.763;0
10;01/08/2021;1;0;1;48.236;700
10;01/08/2021;1;1;1;111.763;0
10;01/09/2021;0;0;0;48.236;0
10;01/10/2021;0;0;0;48.236;0
10;01/11/2021;0;0;0;48.236;0
10;01/12/2021;0;0;0;48.236;0
10;01/01/2022;0;0;0;48.236;0
10;01/02/2022;0;0;0;48.236;0
10;01/03/2022;0;0;0;48.236;0
10;01/04/2022;0;0;0;48.236;0
10;01/05/2022;0;0;0;48.236;0
10;01/06/2022;10;0;2;48.236;140
10;01/06/2022;10;1;2;111.763;80
10;01/06/2022;10;2;2;391.169;30
10;01/06/2022;10;2.1;2;181.614;60
10;01/06/2022;10;2.2;2;251.466;30
10;01/06/2022;10;2.3;2;321.317;0
11;01/08/2021;1;0;0;48.236;0
11;01/09/2021;1;0;1;48.236;100
11;01/09/2021;1;1;1;111.919;0
11;01/10/2021;0;0;0;48.236;0
11;01/11/2021;1;0;1;48.236;300
11;01/11/2021;1;1;1;121.338;0
11;01/12/2021;1;0;2;48.236;300
11;01/12/2021;1;2;2;241.098;0
11;01/01/2022;0;0;0;48.236;0
11;01/02/2022;2;0;0;48.236;0
11;01/03/2022;0;0;0;48.236;0
11;01/04/2022;0;0;0;48.236;0
11;01/05/2022;0;0;0;48.236;0
11;01/06/2022;0;0;0;48.236;0
11;01/07/2022;2;0;2;48.236;150
11;01/07/2022;2;1;2;120.527;100
11;01/07/2022;2;2;2;239.728;0
12;01/09/2021;1;0;0;48.236;0
12;01/10/2021;1;0;1;48.236;100
12;01/10/2021;1;1;1;111.919;0
12;01/11/2021;0;0;0;48.236;0
12;01/12/2021;1;0;1;48.236;300
12;01/12/2021;1;1;1;121.338;0
12;01/01/2022;1;0;2;48.236;300
12;01/01/2022;1;2;2;241.098;0
12;01/02/2022;0;0;0;48.236;0
12;01/03/2022;2;0;0;48.236;0
12;01/04/2022;0;0;0;48.236;0
12;01/05/2022;0;0;0;48.236;0
12;01/06/2022;0;0;0;48.236;0
12;01/07/2022;0;0;2;48.236;0
12;01/08/2022;2;0;2;48.236;150
12;01/08/2022;2;1;2;120.527;100
12;01/08/2022;2;2;2;239.728;0
13;01/10/2021;2;0;0;48.236;0
13;01/11/2021;2;0;1;48.236;100
13;01/11/2021;2;1;1;118.564;50
13;01/11/2021;2;1.1;1;29.641;0
13;01/12/2021;4;0;0;48.236;0
13;01/01/2022;2;0;1;48.236;50
13;01/01/2022;2;1;1;96.086;0
13;01/02/2022;0;0;0;48.236;0
13;01/03/2022;2;0;3;48.236;300
13;01/03/2022;2;3.3;3;330.220;0
13;01/04/2022;3;0;1;48.236;133
13;01/04/2022;3;1;1;122.963;33
13;01/04/2022;3;1.1;1;30.741;133
13;01/04/2022;3;1.2;1;61.482;33
13;01/04/2022;3;1.3;1;92.222;0
13;01/05/2022;2;0;2;48.236;250
13;01/05/2022;2;1;2;118.598;100
13;01/05/2022;2;2;2;241.132;100
13;01/05/2022;2;2.1;2;149.231;0
13;01/06/2022;2;0;2;48.236;250
13;01/06/2022;2;1;2;121.434;150
13;01/06/2022;2;2;2;239.945;100
13;01/06/2022;2;2.1;2;151.062;50
13;01/06/2022;2;2.2;2;180.690;0
13;01/07/2022;2;0;2;48.236;150
13;01/07/2022;2;1;2;120.161;100
13;01/07/2022;2;2;2;239.945;0
13;01/08/2022;1;0;2;48.236;400
13;01/08/2022;1;1;2;122.905;300
13;01/08/2022;1;2;2;242.617;0
13;01/09/2022;4;0;2;48.236;150
13;01/09/2022;4;1;2;122.852;75
13;01/09/2022;4;2;2;242.478;25
13;01/09/2022;4;2.1;2;152.759;50
13;01/09/2022;4;2.2;2;182.665;0
14;01/03/2022;1;0;11;48.236;500
14;01/08/2022;1;0;2;48.236;300
14;01/08/2022;1;1;2;118.805;100
14;01/08/2022;1;2;2;237.374;-100
14;01/08/2022;1;2.1;2;148.447;100
14;01/08/2022;1;2.2;2;178.090;0
14;01/09/2022;0;0;0;48.236;0
14;01/10/2022;14;0;3;48.236;50
14;01/10/2022;14;1;3;97.128;36
14;01/10/2022;14;2;3;181.845;21
14;01/10/2022;14;3;3;266.277;-7
14;01/10/2022;14;3.1;3;202.953;21
14;01/10/2022;14;3.2;3;224.061;14
14;01/10/2022;14;3.3;3;245.169;14
14;01/10/2022;14;3.4;3;266.277;0
15;01/12/2021;2;0;1;48.236;0
15;01/12/2021;2;1;1;98.252;0
15;01/01/2022;0;0;0;48.236;0
15;01/02/2022;0;0;0;48.236;0
15;01/03/2022;0;0;0;48.236;0
15;01/04/2022;0;0;0;48.236;0
15;01/05/2022;0;0;0;48.236;0
15;01/06/2022;0;0;0;48.236;0
15;01/07/2022;0;0;0;48.236;0
15;01/08/2022;0;0;0;48.236;0
15;01/09/2022;1;0;5;48.236;500
15;01/09/2022;1;1;5;118.878;500
15;01/09/2022;1;2;5;238.344;300
15;01/09/2022;1;4;5;358.061;61
15;01/09/2022;1;5;5;479.012;0
15;01/10/2022;1;0;8;48.236;900
15;01/10/2022;1;1;8;121.931;800
15;01/10/2022;1;2;8;243.655;500
15;01/10/2022;1;4;8;364.389;61
15;01/11/2022;12;0;4;48.236;125
15;01/11/2022;12;1;4;120.489;100
15;01/11/2022;12;2;4;243.331;42
15;01/11/2022;12;3;4;338.612;8
15;01/11/2022;12;4;4;411.395;-8
15;01/11/2022;12;4.1;4;356.808;0
16;01/01/2022;3;0;4;48.236;267
16;01/01/2022;3;1;4;118.738;233
16;01/01/2022;3;4;4;442.150;0
16;01/02/2022;1;0;4;48.236;800
16;01/02/2022;1;1;4;120.846;500
16;01/02/2022;1;4;4;484.777;0
16;01/03/2022;0;0;0;48.236;0
16;01/04/2022;0;0;0;48.236;0
16;01/05/2022;0;0;0;48.236;0
16;01/06/2022;0;0;0;48.236;0
16;01/07/2022;1;0;4;48.236;1000
16;01/07/2022;1;1;4;122.741;700
16;01/07/2022;1;2;4;243.293;500
16;01/07/2022;1;4;4;480.845;0
16;01/11/2022;1;0;4;48.236;600
16;01/11/2022;1;1;4;122.230;500
16;01/11/2022;1;2;4;242.116;400
16;01/11/2022;1;3;4;361.538;300
16;01/11/2022;1;4;4;483.011;-100
16;01/11/2022;1;4.1;4;391.907;0
16;01/12/2022;15;0;4;48.236;67
16;01/12/2022;15;1;4;121.613;47
16;01/12/2022;15;2;4;218.263;33
16;01/12/2022;15;3;4;301.325;20
16;01/12/2022;15;4;4;384.436;-20
16;01/12/2022;15;4.1;4;322.103;7
16;01/12/2022;15;4.2;4;342.881;0
17;01/02/2022;2;4;4;458.551;0
17;01/03/2022;0;0;0;48.236;0
17;01/04/2022;0;0;0;48.236;0
17;01/05/2022;0;0;0;48.236;0
17;01/06/2022;0;0;0;48.236;0
17;01/07/2022;0;0;0;48.236;0
17;01/08/2022;0;0;0;48.236;0
17;01/09/2022;0;0;0;48.236;0
17;01/10/2022;0;0;0;48.236;0
17;01/11/2022;0;0;0;48.236;0
17;01/12/2022;0;0;0;48.236;300
17;01/12/2022;3;1;4;119.447;200
17;01/12/2022;3;2;4;239.115;167
17;01/12/2022;3;3;4;358.205;67
17;01/12/2022;3;4;4;480.310;-67
17;01/12/2022;3;4.1;4;388.732;67
17;01/12/2022;3;4.2;4;419.258;0
17;01/01/2023;15;0;4;48.236;80
17;01/01/2023;15;1;4;122.105;67
17;01/01/2023;15;2;4;244.354;60
17;01/01/2023;15;3;4;365.952;13
17;01/01/2023;15;4;4;435.991;-7
17;01/01/2023;15;4.1;4;383.462;13
17;01/01/2023;15;4.2;5;400.971;7
17;01/01/2023;15;4.3;6;418.481;0
18;01/03/2022;2;3.1;3;271.733;0
18;01/04/2022;0;0;0;48.236;0
18;01/05/2022;0;0;0;48.236;0
18;01/06/2022;0;0;0;48.236;0
18;01/07/2022;0;0;0;48.236;0
18;01/08/2022;0;0;0;48.236;0
18;01/09/2022;0;0;0;48.236;0
18;01/10/2022;0;0;0;48.236;0
18;01/11/2022;0;0;0;48.236;0
18;01/12/2022;1;0;4;48.236;1200
18;01/12/2022;1;1;4;120.368;1000
18;01/12/2022;1;2;4;238.686;500
18;01/12/2022;1;3;4;357.684;200
18;01/12/2022;1;4;4;476.282;-100
18;01/12/2022;1;4.1;4;387.334;0
18;01/01/2023;1;0;4;48.236;1100
18;01/01/2023;1;1;4;122.992;700
18;01/01/2023;1;2;4;244.643;500
18;01/01/2023;1;3;4;362.986;100
18;01/01/2023;1;4;4;481.255;-100
18;01/01/2023;1;4.1;4;392.553;100
18;01/01/2023;1;4.2;4;422.120;0
18;01/02/2023;14;0;4;48.236;114
18;01/02/2023;14;1;4;118.743;93
18;01/02/2023;14;2;4;237.360;71
18;01/02/2023;14;3;4;355.639;50
18;01/02/2023;14;4;4;454.161;0
19;01/04/2022;5;0;9;48.236;440
19;01/04/2022;5;1;9;119.746;380
19;01/04/2022;5;2;9;239.839;300
19;01/04/2022;5;3;9;360.260;260
19;01/04/2022;5;4;9;480.542;260
19;01/04/2022;5;5;9;600.461;180
19;01/04/2022;5;6;9;722.527;80
19;01/04/2022;5;7;9;843.074;40
19;01/04/2022;5;9;9;1.025.227;0
19;01/05/2022;2;0;9;48.236;800
19;01/05/2022;2;1;9;118.723;650
19;01/05/2022;2;2;9;238.677;600
19;01/05/2022;2;9;9;1.082.980;0
19;01/06/2022;0;0;0;48.236;0
19;01/07/2022;0;0;0;48.236;0
19;01/08/2022;0;0;0;48.236;0
19;01/09/2022;0;0;0;48.236;0
19;01/10/2022;0;0;0;48.236;0
19;01/11/2022;0;0;0;48.236;0
19;01/12/2022;0;0;0;48.236;0
19;01/01/2023;0;0;0;48.236;0
19;01/02/2023;0;0;0;48.236;0
19;01/03/2023;13;0;5;48.236;115
19;01/03/2023;13;1;5;122.269;100
19;01/03/2023;13;2;5;241.614;85
19;01/03/2023;13;3;5;361.963;46
19;01/03/2023;13;4;5;460.625;15
19;01/03/2023;13;5;5;530.818;-8
19;01/03/2023;13;5.1;5;478.173;0
20;01/05/2022;3;0;14;48.236;633
20;01/05/2022;3;1;14;119.288;467
20;01/05/2022;3;2;14;241.233;367
20;01/05/2022;3;3;14;363.907;333
20;01/05/2022;3;14;14;1.648.919;0
20;01/06/2022;2;0;15;48.236;800
20;01/06/2022;2;1;15;121.236;750
20;01/06/2022;2;2;15;241.383;700
20;01/06/2022;2;3;15;364.047;700
20;01/07/2022;0;0;10;48.236;0
20;01/08/2022;0;0;10;48.236;0
20;01/09/2022;0;0;10;48.236;0
20;01/10/2022;0;0;10;48.236;0
20;01/11/2022;0;0;10;48.236;0
20;01/12/2022;0;0;10;48.236;0
20;01/01/2023;0;0;10;48.236;0
20;01/02/2023;1;0;10;48.236;1100
20;01/02/2023;1;1;10;119.505;1000
20;01/02/2023;1;2;10;237.919;800
20;01/02/2023;1;3;10;359.228;700
20;01/02/2023;1;4;10;479.808;600
20;01/03/2023;0;0;0;48.236;0
20;01/04/2023;12;0;9;48.236;150
20;01/04/2023;12;1;9;118.390;150
20;01/04/2023;12;2;9;239.776;125
20;01/04/2023;12;3;9;361.326;92
20;01/04/2023;12;4;9;482.558;75
20;01/04/2023;12;5;9;601.406;42
20;01/04/2023;12;6;9;700.049;25
20;01/04/2023;12;7;9;784.255;17
20;01/04/2023;12;8;9;854.409;8
20;01/04/2023;12;9;9;928.278;0
21;01/06/2022;1;0;40;48.236;1500
21;01/06/2022;1;1;40;120.276;1300
21;01/06/2022;1;2;40;241.619;1300
21;01/06/2022;1;3;40;364.577;1300
21;01/06/2022;1;4;40;482.876;1100
21;01/06/2022;1;5;40;604.055;1100
21;01/06/2022;1;6;40;724.833;1100
21;01/06/2022;1;7;40;844.820;1100
21;01/06/2022;1;8;40;967.667;0
21;01/07/2022;3;0;31;48.236;767
21;01/07/2022;3;1;31;122.119;733
21;01/07/2022;3;2;31;242.859;733
21;01/07/2022;3;3;31;361.577;733
21;01/07/2022;3;4;31;481.376;667
21;01/07/2022;3;5;31;601.233;667
21;01/07/2022;3;6;31;721.707;667
21;01/07/2022;3;7;31;841.713;667
21;01/07/2022;3;8;31;961.382;600
21;01/07/2022;3;9;31;1.080.351;467
21;01/07/2022;3;10;31;1.201.149;467
21;01/07/2022;3;11;31;1.321.078;433
21;01/07/2022;3;12;31;1.441.436;433
21;01/07/2022;3;13;31;1.562.567;433
21;01/07/2022;3;14;31;1.681.193;433
21;01/07/2022;3;15;31;1.803.231;433
21;01/07/2022;3;16;31;1.923.285;433
21;01/07/2022;3;17;31;2.044.488;333
21;01/07/2022;3;18;31;2.167.243;300
21;01/07/2022;3;19;31;2.285.542;233
21;01/07/2022;3;20;31;2.405.153;233
21;01/07/2022;3;21;31;2.525.627;233
21;01/07/2022;3;22;31;2.647.717;233
21;01/08/2022;1;0;30;48.236;1500
21;01/08/2022;1;1;30;121.767;1400
21;01/08/2022;1;2;30;240.702;1400
21;01/08/2022;1;3;30;360.082;1200
21;01/08/2022;1;4;30;479.596;1000
21;01/08/2022;1;5;30;600.606;1000
21;01/08/2022;1;6;30;723.106;1000
21;01/08/2022;1;7;30;842.181;1000
21;01/09/2022;1;0;25;48.236;1400
21;01/09/2022;1;1;25;120.527;1300
21;01/09/2022;1;2;25;241.759;1200
21;01/09/2022;1;3;25;361.148;1100
21;01/09/2022;1;4;25;483.971;900
21;01/09/2022;1;5;25;602.545;900
21;01/09/2022;1;6;25;721.524;800
21;01/09/2022;1;7;25;839.851;800
21;01/09/2022;1;8;25;961.638;800
21;01/09/2022;1;9;25;1.083.795;600
21;01/09/2022;1;10;25;1.204.882;600
21;01/09/2022;1;11;25;1.327.744;600
21;01/09/2022;1;12;25;1.448.228;600
21;01/09/2022;1;13;25;1.566.657;600
21;01/09/2022;1;14;25;1.684.864;600
21;01/09/2022;1;15;25;1.803.264;600
21;01/09/2022;1;16;25;1.926.242;600
21;01/09/2022;1;17;25;2.045.930;500
21;01/09/2022;1;18;25;2.165.763;500
21;01/09/2022;1;19;25;2.284.722;500
21;01/09/2022;1;20;25;2.407.589;500
21;01/09/2022;1;21;25;2.528.628;500
21;01/09/2022;1;22;25;2.647.235;400
21;01/10/2022;1;0;25;48.236;1400
21;01/10/2022;1;1;25;121.314;1400
21;01/10/2022;1;2;25;242.786;1400
21;01/10/2022;1;3;25;364.645;1300
21;01/10/2022;1;4;25;486.036;1100
21;01/10/2022;1;5;25;604.831;1100
21;01/10/2022;1;6;25;727.655;1000
21;01/10/2022;1;7;25;846.074;1000
21;01/10/2022;1;8;25;966.572;900
21;01/10/2022;1;9;25;1.086.878;700
21;01/10/2022;1;10;25;1.207.781;600
21;01/10/2022;1;11;25;1.326.775;600
21;01/10/2022;1;12;25;1.449.202;600
21;01/10/2022;1;13;25;1.569.329;600
21;01/10/2022;1;14;25;1.690.503;600
21;01/10/2022;1;15;25;1.811.590;500
21;01/10/2022;1;16;25;1.931.345;500
21;01/10/2022;1;17;25;2.051.713;300
21;01/10/2022;1;18;25;2.173.398;200
21;01/10/2022;1;19;25;2.293.385;200
21;01/10/2022;1;20;25;2.414.506;200
21;01/10/2022;1;21;25;2.534.619;200
21;01/10/2022;1;22;25;2.655.971;200
21;01/10/2022;1;23;25;2.778.587;200
21;01/10/2022;1;24;25;2.900.903;100
21;01/10/2022;1;25;25;3.019.265;-200
21;01/10/2022;1;25.1;25;2.930.494;100
21;01/10/2022;1;25.2;25;2.960.084;100
21;01/10/2022;1;25.3;25;2.989.675;0
21;01/11/2022;0;0;0;48.236;0
21;01/12/2022;0;0;0;48.236;0
21;01/01/2023;0;0;0;48.236;0
21;01/02/2023;0;0;0;48.236;0
21;01/03/2023;0;0;0;48.236;0
21;01/04/2023;0;0;0;48.236;0
21;01/05/2023;12;0;25;48.236;162
21;01/05/2023;12;1;25;118.728;154
21;01/05/2023;12;2;25;241.479;154
21;01/05/2023;12;3;25;363.357;154
21;01/05/2023;12;4;25;485.370;139
21;01/05/2023;12;5;25;607.301;108
21;01/05/2023;12;6;25;726.309;92
21;01/05/2023;12;7;25;847.019;85
21;01/05/2023;12;8;25;966.148;85
21;01/05/2023;12;9;25;1.084.340;77
21;01/05/2023;12;10;25;1.205.881;77
21;01/05/2023;12;11;25;1.327.898;77
21;01/05/2023;12;12;25;1.448.739;77
21;01/05/2023;12;13;25;1.568.422;77
21;01/05/2023;12;14;25;1.687.059;69
21;01/05/2023;12;15;25;1.806.351;62
21;01/05/2023;12;16;25;1.926.010;62
21;01/05/2023;12;17;25;2.046.948;62
21;01/05/2023;12;18;25;2.165.396;62
21;01/05/2023;12;19;25;2.287.226;46
21;01/05/2023;12;20;25;2.381.614;46
21;01/05/2023;12;21;25;2.476.345;46
21;01/05/2023;12;22;25;2.571.085;39
21;01/05/2023;12;23;25;2.655.426;39
21;01/05/2023;12;24;25;2.741.300;23
21;01/05/2023;12;25;25;2.825.882;0
22;01/07/2022;5;0;12;48.236;300
22;01/07/2022;5;1;12;209.456;240
22;01/07/2022;5;2;12;419.902;200
22;01/07/2022;5;3;12;629.118;160
22;01/07/2022;5;4;12;838.320;120
22;01/07/2022;5;5;12;1.047.525;120
22;01/07/2022;5;6;12;1.256.255;100
22;01/07/2022;5;7;12;1.466.419;80
22;01/07/2022;5;8;12;1.676.320;20
22;01/07/2022;5;9;12;1.775.640;20
22;01/07/2022;5;10;12;1.875.068;20
22;01/07/2022;5;11;12;1.974.888;20
22;01/07/2022;5;12;12;2.073.853;-20
22;01/07/2022;5;12.1;12;1.999.629;0
22;01/08/2022;4;0;11;48.236;400
22;01/08/2022;4;1;11;209.456;350
22;01/08/2022;4;2;11;418.497;300
22;01/08/2022;4;3;11;627.638;225
22;01/08/2022;4;4;11;837.002;175
22;01/08/2022;4;5;11;1.047.040;175
22;01/08/2022;4;6;11;1.256.681;125
22;01/08/2022;4;7;11;1.466.018;125
22;01/08/2022;4;8;11;1.676.510;50
22;01/08/2022;4;11;11;2.007.576;0
22;01/09/2022;0;0;0;48.236;0
22;01/10/2022;0;0;0;48.236;0
22;01/11/2022;0;0;0;48.236;0
22;01/12/2022;0;0;0;48.236;0
22;01/01/2023;0;0;0;48.236;0
22;01/02/2023;0;0;0;48.236;0
22;01/03/2023;0;0;0;48.236;0
22;01/04/2023;0;0;0;48.236;0
22;01/05/2023;0;0;0;48.236;0
22;01/06/2023;12;0;0;48.236;175
22;01/06/2023;12;1;10;209.516;158
22;01/06/2023;12;2;10;419.483;142
22;01/06/2023;12;3;10;628.970;125
22;01/06/2023;12;4;10;838.494;75
22;01/06/2023;12;5;10;1.048.226;42
22;01/06/2023;12;6;10;1.180.875;42
22;01/06/2023;12;7;10;1.313.271;25
22;01/06/2023;12;8;10;1.412.596;17
22;01/06/2023;12;9;10;1.489.329;17
22;01/06/2023;12;10;10;1.567.029;0
