cha,close,volume,open,high,low
08/02/2022;7.706;N/A;7.706;7.706;7.706
08/01/2022;8.283;N/A;8.283;8.283;8.283
07/29/2022;8.229;N/A;8.229;8.229;8.229
07/28/2022;8.134;N/A;8.134;8.134;8.134
07/27/2022;8.687;N/A;8.687;8.687;8.687
07/26/2022;8.993;N/A;8.993;8.993;8.993
07/25/2022;8.727;N/A;8.727;8.727;8.727
07/22/2022;8.299;N/A;8.299;8.299;8.299
07/21/2022;7.932;N/A;7.932;7.932;7.932
07/20/2022;8.007;N/A;8.007;8.007;8.007
07/19/2022;7.264;N/A;7.264;7.264;7.264
07/18/2022;7.479;N/A;7.479;7.479;7.479
07/15/2022;7.016;N/A;7.016;7.016;7.016
07/14/2022;6.6;N/A;6.6;6.6;6.6
07/13/2022;6.689;N/A;6.689;6.689;6.689
07/12/2022;6.163;N/A;6.163;6.163;6.163
07/11/2022;6.426;N/A;6.426;6.426;6.426
07/08/2022;6.034;N/A;6.034;6.034;6.034
07/07/2022;6.297;N/A;6.297;6.297;6.297
07/06/2022;5.51;N/A;5.51;5.51;5.51
07/05/2022;5.523;N/A;5.523;5.523;5.523
07/01/2022;5.73;N/A;5.73;5.73;5.73
06/30/2022;5.424;N/A;5.424;5.424;5.424
06/29/2022;6.498;N/A;6.498;6.498;6.498
06/28/2022;6.551;N/A;6.551;6.551;6.551
06/27/2022;6.501;N/A;6.501;6.501;6.501
06/24/2022;6.22;N/A;6.22;6.22;6.22
06/23/2022;6.239;N/A;6.239;6.239;6.239
06/22/2022;6.858;N/A;6.858;6.858;6.858
06/21/2022;6.808;N/A;6.808;6.808;6.808
06/17/2022;6.944;N/A;6.944;6.944;6.944
06/16/2022;7.464;N/A;7.464;7.464;7.464
06/15/2022;7.42;N/A;7.42;7.42;7.42
06/14/2022;7.189;N/A;7.189;7.189;7.189
06/13/2022;8.609;N/A;8.609;8.609;8.609
06/10/2022;8.85;N/A;8.85;8.85;8.85
06/09/2022;8.963;N/A;8.963;8.963;8.963
06/08/2022;8.699;N/A;8.699;8.699;8.699
06/07/2022;9.293;N/A;9.293;9.293;9.293
06/06/2022;9.322;N/A;9.322;9.322;9.322
06/03/2022;;;;;
06/02/2022;;;;;
06/01/2022;;;;;
05/31/2022;;;;;
05/27/2022;;;;;
05/26/2022;;;;;
05/25/2022;;;;;
05/24/2022;;;;;
05/23/2022;;;;;
05/20/2022;;;;;
05/19/2022;;;;;
05/18/2022;;;;;
05/17/2022;;;;;
05/16/2022;;;;;
05/13/2022;;;;;
05/12/2022;;;;;
05/11/2022;;;;;
05/10/2022;;;;;
05/09/2022;;;;;
05/06/2022;;;;;
05/05/2022;;;;;
05/04/2022;;;;;
05/03/2022;;;;;
05/02/2022;;;;;
04/29/2022;;;;;
04/28/2022;;;;;
04/27/2022;;;;;
04/26/2022;;;;;
04/25/2022;;;;;
04/22/2022;;;;;
04/21/2022;;;;;
04/20/2022;;;;;
04/19/2022;;;;;
04/18/2022;;;;;
04/14/2022;;;;;
04/13/2022;;;;;
04/12/2022;;;;;
04/11/2022;;;;;
04/08/2022;;;;;
04/07/2022;;;;;
04/06/2022;;;;;
04/05/2022;;;;;
04/04/2022;;;;;
04/01/2022;;;;;
03/31/2022;;;;;
03/30/2022;;;;;
03/29/2022;;;;;
03/28/2022;;;;;
03/25/2022;;;;;
03/24/2022;;;;;
03/23/2022;;;;;
03/22/2022;;;;;
03/21/2022;;;;;
03/18/2022;;;;;
03/17/2022;;;;;
03/16/2022;;;;;
03/15/2022;;;;;
03/14/2022;;;;;
03/11/2022;;;;;
03/10/2022;;;;;
03/09/2022;;;;;
03/08/2022;;;;;
03/07/2022;;;;;
03/04/2022;;;;;
03/03/2022;;;;;
03/02/2022;;;;;
03/01/2022;;;;;
02/28/2022;;;;;
02/25/2022;;;;;
02/24/2022;;;;;
02/23/2022;;;;;
02/22/2022;;;;;
02/18/2022;;;;;
02/17/2022;;;;;
02/16/2022;;;;;
02/15/2022;;;;;
02/14/2022;;;;;
02/11/2022;;;;;
02/10/2022;;;;;
02/09/2022;;;;;
02/08/2022;;;;;
02/07/2022;;;;;
02/04/2022;;;;;
02/03/2022;;;;;
02/02/2022;;;;;
02/01/2022;;;;;
01/31/2022;;;;;
01/28/2022;;;;;
01/27/2022;;;;;
01/26/2022;;;;;
01/25/2022;;;;;
01/24/2022;;;;;
01/21/2022;;;;;
01/20/2022;;;;;
01/19/2022;;;;;
01/18/2022;;;;;
01/14/2022;;;;;
01/13/2022;;;;;
01/12/2022;;;;;
01/11/2022;;;;;
01/10/2022;;;;;
01/07/2022;;;;;
01/06/2022;;;;;
01/05/2022;;;;;
01/04/2022;;;;;
01/03/2022;;;;;
12/31/2021;;;;;
12/30/2021;;;;;
12/29/2021;;;;;
12/28/2021;;;;;
12/27/2021;;;;;
12/23/2021;;;;;
12/22/2021;;;;;
12/21/2021;;;;;
12/20/2021;;;;;
12/17/2021;;;;;
12/16/2021;;;;;
12/15/2021;;;;;
12/14/2021;;;;;
12/13/2021;;;;;
12/10/2021;;;;;
12/09/2021;;;;;
12/08/2021;;;;;
12/07/2021;;;;;
12/06/2021;;;;;
12/03/2021;;;;;
12/02/2021;;;;;
12/01/2021;;;;;
11/30/2021;;;;;
11/29/2021;;;;;
11/26/2021;;;;;
11/24/2021;;;;;
11/23/2021;;;;;
11/22/2021;;;;;
11/19/2021;;;;;
11/18/2021;;;;;
11/17/2021;;;;;
11/16/2021;;;;;
11/15/2021;;;;;
11/12/2021;;;;;
11/11/2021;;;;;
11/10/2021;;;;;
11/09/2021;;;;;
11/08/2021;;;;;
11/05/2021;;;;;
11/04/2021;;;;;
11/03/2021;;;;;
11/02/2021;;;;;
11/01/2021;;;;;
10/29/2021;;;;;
10/28/2021;;;;;
10/27/2021;;;;;
10/26/2021;;;;;
10/25/2021;;;;;
10/22/2021;;;;;
10/21/2021;;;;;
10/20/2021;;;;;
10/19/2021;;;;;
10/18/2021;;;;;
10/15/2021;;;;;
10/14/2021;;;;;
10/13/2021;;;;;
10/12/2021;;;;;
10/11/2021;;;;;
10/08/2021;;;;;
10/07/2021;;;;;
10/06/2021;;;;;
10/05/2021;;;;;
10/04/2021;;;;;
10/01/2021;;;;;
09/30/2021;;;;;
09/29/2021;;;;;
09/28/2021;;;;;
09/27/2021;;;;;
09/24/2021;;;;;
09/23/2021;;;;;
09/22/2021;;;;;
09/21/2021;;;;;
09/20/2021;;;;;
09/17/2021;;;;;
09/16/2021;;;;;
09/15/2021;;;;;
09/14/2021;;;;;
09/13/2021;;;;;
09/10/2021;;;;;
09/09/2021;;;;;
09/08/2021;;;;;
09/07/2021;;;;;
09/03/2021;;;;;
09/02/2021;;;;;
09/01/2021;;;;;
08/31/2021;;;;;
08/30/2021;;;;;
08/27/2021;;;;;
08/26/2021;;;;;
08/25/2021;;;;;
08/24/2021;;;;;
08/23/2021;;;;;
08/20/2021;;;;;
08/19/2021;;;;;
08/18/2021;;;;;
08/17/2021;;;;;
08/16/2021;;;;;
08/13/2021;;;;;
08/12/2021;;;;;
08/11/2021;;;;;
08/10/2021;;;;;
08/09/2021;;;;;
08/06/2021;;;;;
08/05/2021;;;;;
08/04/2021;;;;;
08/03/2021;;;;;
08/02/2021;;;;;
07/30/2021;;;;;
07/29/2021;;;;;
07/28/2021;;;;;
07/27/2021;;;;;
07/26/2021;;;;;
07/23/2021;;;;;
07/22/2021;;;;;
07/21/2021;;;;;
07/20/2021;;;;;
07/19/2021;;;;;
07/16/2021;;;;;
07/15/2021;;;;;
07/14/2021;;;;;
07/13/2021;;;;;
